City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Gergebil,RU,2021-05-22 17:07:25,42.5047,47.0661,59.52,53,40,6.33
282,Touros,BR,2021-05-22 17:07:09,-5.1989,-35.4608,86.9,60,10,16.33
283,Korsakov,RU,2021-05-22 17:07:25,46.6328,142.7813,44.35,94,100,1.32
284,Racalmuto,IT,2021-05-22 17:07:26,37.4071,13.7338,68.81,48,44,7.07
285,Comodoro Rivadavia,AR,2021-05-22 17:07:26,-45.8667,-67.5,54.46,58,16,11.05
286,Shelburne,CA,2021-05-22 17:07:26,44.0787,-80.2041,73.27,82,99,14.14
287,Ambilobe,MG,2021-05-22 17:07:26,-13.2,49.05,72.39,79,91,2.73
288,Guerrero Negro,MX,2021-05-22 17:07:26,27.9769,-114.0611,64.96,53,0,21.09
289,Kumysh,RU,2021-05-22 17:07:27,43.8833,41.8932,59.29,98,100,4.63
290,Alekseyevsk,RU,2021-05-22 17:07:27,57.8406,108.3492,37.45,65,89,3.71
291,Codrington,AU,2021-05-22 17:07:27,-38.2667,141.9667,50.16,58,100,8.23
